Year,State,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Insolvent?,R2_NextYear,R1_normal,R2_normal,R3_normal,R4_normal,R5_normal,R6_normal,R7_normal,R8_normal,R9_normal,R10_normal,R11_normal,R12_normal,R13_normal
2009,UT,53,52,-17,0,82,4.5,-7,-7,71,2,0,4,-42,Solvent,32,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,UT,33,32,-24,0,73,4.1,22,22,67,1,-1,-3,-47,Solvent,25,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,UT,26,25,-17,0,75,3.9,7,7,65,1,-4,-5,-38,Solvent,27,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,UT,28,27,3,0,89,3.6,-4,-4,68,1,-1,-4,-17,Solvent,30,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,UT,30,30,19,0,93,3.8,8,8,68,1,0,-1,14,Solvent,28,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,UT,29,28,7,0,89,3.3,13,13,65,1,-3,-1,13,Solvent,29,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,UT,30,29,10,0,85,3.3,6,6,65,1,-1,-3,12,Solvent,28,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,MO,111,111,30,0,79,3.2,13,13,81,22,-3,8,47,Solvent,86,1,1,1,1,1,1,1,1,1,1,1,1,0
2007,MO,86,86,-16,0,82,3.5,9,9,85,47,-2,-4,-31,Solvent,37,1,1,1,1,1,1,1,1,1,0,1,1,1
2008,MO,37,37,-46,0,77,3.9,26,26,67,8,-10,-11,-21,Solvent,46,1,1,0,1,1,1,1,0,1,1,1,1,1
2006,GA,488,352,2,0,109,2.4,-19,-17,99,71,-5,7,-13,Insolvent,221,1,0,1,1,0,0,0,0,1,0,1,1,1
2007,GA,398,221,-39,0,110,2.7,-3,-2,91,51,36,26,17,Solvent,35,1,1,0,1,0,0,1,1,1,0,0,0,1
2008,GA,73,35,-88,0,123,3.6,-23,-23,68,0,-13,35,17,Solvent,12,1,1,0,1,0,1,0,0,1,1,1,0,1
2006,NY,837,84,2,0,73,4,1,1,128,30,-2,-6,-4,Solvent,83,1,1,1,1,1,1,1,1,0,1,1,1,1
2007,NY,829,83,-7,0,75,4.2,-7,-7,131,27,-1,-3,-6,Solvent,84,1,1,1,1,1,1,1,1,0,1,1,1,1
2006,TX,197,30,29,0,25,6.5,11,11,63,0,5,-7,14,Solvent,81,1,1,1,1,1,0,1,1,1,1,1,1,1
2007,TX,124,81,332,0,47,6.1,60,60,42,0,-12,-6,18,Solvent,59,1,1,0,1,1,1,0,0,1,1,1,1,1
2008,TX,88,59,-5,0,43,6,31,31,34,0,-5,-11,3,Solvent,51,1,1,1,1,1,1,1,0,1,1,1,1,1
2009,TX,96,51,-8,0,53,6.5,5,5,45,0,-3,-5,-2,Solvent,55,1,1,1,1,1,0,1,1,1,1,1,1,1
2010,TX,97,55,5,0,87,4.7,-1,-1,30,0,11,-3,2,Solvent,45,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,TX,76,45,-6,0,86,4.3,15,15,24,0,2,11,6,Solvent,40,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,TX,65,40,-4,0,69,4.5,8,8,21,0,0,2,2,Solvent,34,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,TX,56,34,-4,0,66,4.5,12,12,18,0,0,0,0,Solvent,31,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,TX,52,31,-3,0,63,4.4,7,7,17,0,2,0,1,Solvent,31,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,TX,54,31,7,0,65,4.2,8,8,17,0,1,3,1,Solvent,29,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,CT,153,65,11,0,78,5.1,10,10,57,0,1,5,8,Solvent,60,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,CT,131,60,1,0,77,5.3,10,8,57,0,2,4,0,Solvent,60,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,CT,120,60,-1,0,75,5.3,0,8,58,0,-2,1,-5,Solvent,78,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,CT,132,78,-2,0,74,5.3,-25,-24,67,5,-2,-4,-10,Solvent,72,1,1,1,1,1,1,0,0,1,1,1,1,1
2010,CT,101,72,-4,0,75,4.9,4,4,66,4,-2,-4,-10,Solvent,69,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,CT,92,69,-1,0,79,4.5,3,3,65,4,-2,-4,-7,Solvent,76,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,CT,100,76,2,0,86,4.5,-8,-8,68,4,2,-2,-4,Solvent,76,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,CT,98,76,0,0,90,4.3,1,1,68,4,-1,1,-3,Solvent,77,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,CT,99,77,1,0,86,4,-1,-1,69,4,1,0,-1,Solvent,77,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,CT,94,77,3,0,83,3.9,4,4,69,4,1,3,3,Solvent,81,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,CA,101,41,-7,22,133,3.9,-16,-16,76,12,-1,-15,-7,Solvent,37,1,1,1,0,0,1,0,0,1,1,1,1,1
2007,CA,87,37,-6,1,122,4.2,6,6,55,5,-1,-11,4,Solvent,44,1,1,1,1,0,1,1,1,1,1,1,1,1
2008,CA,96,44,13,3,87,4.4,-5,-5,61,15,4,6,25,Solvent,45,1,1,1,1,1,1,1,1,1,1,1,1,0
2009,CA,95,45,18,4,85,3.9,14,14,56,11,1,4,2,Solvent,45,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,CA,91,45,10,4,76,3.1,10,10,57,20,-2,1,-3,Solvent,71,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,CA,129,71,54,5,76,2.8,-3,-3,69,16,-2,0,10,Solvent,83,1,1,0,1,1,0,1,1,1,1,1,1,1
2012,CA,142,83,34,5,83,2.4,15,15,72,12,0,-5,19,Solvent,84,1,1,0,1,1,0,1,1,1,1,1,1,1
2013,CA,161,84,-10,8,102,1.9,-11,-11,92,19,-5,-6,-18,Solvent,25,1,1,1,1,0,0,0,0,1,1,1,1,1
